{1}	{1}	{1}	{1}	{1}	{1}	{1}	{1}	{1}	{1}	{1}	{1}	1	
{2}	{1}	{2}	{2}	{1}	{1}	{2}	{2}	{2}	{1}	{1}	{1}	0	
{3}	{2}	{2}	{2}	{2}	{1}	{3}	{2}	{3}	{1}	{2}	{2}	0	
{4}	{3}	{1}	{2}	{3}	{1}	{3}	{2}	{4}	{1}	{3}	{2}	1	
{5}	{1}	{1}	{1}	{1}	{1}	{4}	{2}	{5}	{1}	{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25}	{3}	0	
{6}	{1}	{2}	{1}	{1}	{2}	{1}	{1}	{1}	{1}	{2}	{2}	0	
{2}	{1, 2, 3, 4, 5, 6, 7, 8}	{2}	{3}	{1}	{1}	{3}	{2}	{1}	{1}	{2}	{4}	0	
{7}	{3}	{2}	{4}	{2}	{1}	{5}	{2}	{3}	{2}	{5}	{4}	0	
{8}	{1, 2, 3, 4, 5, 6, 7, 8}	{2}	{4}	{3}	{2}	{5}	{1}	{1}	{2}	{2}	{4}	1	
{6}	{1}	{2}	{4}	{1}	{2}	{1}	{2}	{6}	{1}	{2}	{4}	1	
{9}	{3}	{1}	{4}	{1}	{1}	{3}	{2}	{3}	{2}	{5}	{4}	0	
{8}	{3}	{2}	{4}	{3}	{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17}	{5}	{2}	{6}	{1}	{2}	{1}	0	
{10}	{1}	{1}	{1}	{4}	{1}	{6}	{2}	{1}	{1}	{5}	{2}	1	
{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13}	{3}	{1}	{1, 2, 3, 4, 5, 6, 7}	{1}	{1}	{5}	{1}	{1}	{3}	{2}	{1}	1	
{2}	{1}	{1, 2}	{1}	{1}	{3}	{5}	{2}	{1}	{1}	{6}	{4}	0	
{2}	{1}	{2}	{4}	{4}	{3}	{3}	{2}	{7}	{4}	{5}	{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}	0	
{5}	{3}	{1}	{2}	{5}	{1}	{5}	{2}	{1}	{1}	{6}	{4}	1	
{6}	{4}	{1}	{4}	{2}	{1}	{3}	{2}	{1}	{1}	{7}	{5}	1	
{4}	{3}	{2}	{1}	{4}	{4}	{6}	{2}	{1}	{1}	{2}	{5}	0	
