'Cement (component 1)(kg in a m^3 mixture)','Blast Furnace Slag (component 2)(kg in a m^3 mixture)','Fly Ash (component 3)(kg in a m^3 mixture)','Water  (component 4)(kg in a m^3 mixture)','Superplasticizer (component 5)(kg in a m^3 mixture)','Coarse Aggregate  (component 6)(kg in a m^3 mixture)','Fine Aggregate (component 7)(kg in a m^3 mixture)','Age (day)','Concrete compressive strength(MPa, megapascals) '
'\'(496.2-inf)\'','\'(-inf-35.94]\'','\'(-inf-20.01]\'','\'(159.36-171.88]\'','\'(-inf-3.22]\'','\'(1007.4-1041.8]\'','\'(673.72-713.58]\'','\'(-inf-37.4]\'','\'(74.573-inf)\''
'\'(496.2-inf)\'','\'(-inf-35.94]\'','\'(-inf-20.01]\'','\'(159.36-171.88]\'','\'(-inf-3.22]\'','\'(1041.8-1076.2]\'','\'(673.72-713.58]\'','\'(-inf-37.4]\'','\'(58.519-66.546]\''
'\'(321-364.8]\'','\'(107.82-143.76]\'','\'(-inf-20.01]\'','\'(221.96-234.48]\'','\'(-inf-3.22]\'','\'(904.2-938.6]\'','\'(-inf-633.86]\'','\'(255.8-292.2]\'','\'(34.438-42.465]\''
'\'(321-364.8]\'','\'(107.82-143.76]\'','\'(-inf-20.01]\'','\'(221.96-234.48]\'','\'(-inf-3.22]\'','\'(904.2-938.6]\'','\'(-inf-633.86]\'','\'(328.6-inf)\'','\'(34.438-42.465]\''
'\'(189.6-233.4]\'','\'(107.82-143.76]\'','\'(-inf-20.01]\'','\'(184.4-196.92]\'','\'(-inf-3.22]\'','\'(973-1007.4]\'','\'(793.3-833.16]\'','\'(328.6-inf)\'','\'(42.465-50.492]\''
'\'(233.4-277.2]\'','\'(107.82-143.76]\'','\'(-inf-20.01]\'','\'(221.96-234.48]\'','\'(-inf-3.22]\'','\'(904.2-938.6]\'','\'(633.86-673.72]\'','\'(73.8-110.2]\'','\'(42.465-50.492]\''
'\'(364.8-408.6]\'','\'(71.88-107.82]\'','\'(-inf-20.01]\'','\'(221.96-234.48]\'','\'(-inf-3.22]\'','\'(904.2-938.6]\'','\'(-inf-633.86]\'','\'(328.6-inf)\'','\'(42.465-50.492]\''
'\'(364.8-408.6]\'','\'(71.88-107.82]\'','\'(-inf-20.01]\'','\'(221.96-234.48]\'','\'(-inf-3.22]\'','\'(904.2-938.6]\'','\'(-inf-633.86]\'','\'(-inf-37.4]\'','\'(34.438-42.465]\''
'\'(233.4-277.2]\'','\'(107.82-143.76]\'','\'(-inf-20.01]\'','\'(221.96-234.48]\'','\'(-inf-3.22]\'','\'(904.2-938.6]\'','\'(633.86-673.72]\'','\'(-inf-37.4]\'','\'(42.465-50.492]\''
'\'(452.4-496.2]\'','\'(-inf-35.94]\'','\'(-inf-20.01]\'','\'(221.96-234.48]\'','\'(-inf-3.22]\'','\'(904.2-938.6]\'','\'(-inf-633.86]\'','\'(-inf-37.4]\'','\'(34.438-42.465]\''
