0	0	0	0	0	0	0	0	0	27.0302
1	1	1	1	1	1	1	0	1	38.5468
2	1	1	2	1	2	1	0	2	38.8119
3	1	2	1	1	2	2	0	1	39.0651
4	1	1	2	1	2	2	0	1	39.9147
5	2	1	2	1	1	1	0	2	41.2382
2	2	1	1	1	1	1	0	1	39.4964
5	1	1	1	1	2	2	0	0	37.4203
5	0	0	3	2	3	3	0	1	30.3916
5	1	1	1	3	2	2	0	2	35.414
6	1	1	1	1	2	2	0	0	38.0433
5	1	2	0	3	2	2	0	2	37.2413
4	2	2	4	1	1	2	0	2	41.5268
7	1	2	3	3	2	2	0	2	37.0667
4	3	3	0	4	4	4	0	3	26.8169
1	0	0	3	5	3	0	0	4	30.4491
5	1	2	1	3	2	2	0	4	33.5263
8	1	2	0	3	2	2	0	2	35.5938
8	2	1	1	6	1	1	0	2	44.5123
0	4	3	3	2	0	0	0	0	26.0101
4	3	3	0	0	4	4	0	5	23.8081
0	0	0	3	2	0	3	0	3	26.454
9	1	2	3	1	2	2	0	2	36.3849
0	1	1	5	1	2	2	0	2	37.1829
3	1	2	3	3	2	2	0	1	36.7233
3	1	2	0	1	2	2	0	1	35.5364
5	1	2	3	1	2	2	0	2	34.6186
8	1	2	0	1	2	2	0	2	38.8427
5	1	1	2	1	2	2	0	0	38.21
8	0	0	0	0	3	3	0	1	26.6638
0	0	2	0	2	3	3	0	3	29.6432
5	0	2	1	2	3	3	0	0	31.5521
8	4	2	2	0	0	0	0	1	27.2363
2	2	1	1	1	1	1	0	2	41.8993
8	2	1	1	1	1	2	0	2	40.9181
8	0	0	0	0	3	0	0	0	29.4849
5	0	2	1	2	3	3	0	2	28.8602
4	0	3	6	2	3	0	0	0	30.1194
3	1	2	0	1	2	2	0	2	33.9611
5	2	1	0	6	1	1	0	2	44.3268
3	1	2	0	1	2	1	0	1	40.4188
8	3	3	0	7	4	5	0	6	20.992
1	1	1	1	1	2	1	0	2	38.3151
3	1	2	3	1	2	2	0	1	32.2311
8	4	0	1	0	0	0	0	5	25.7936
4	1	2	0	3	2	3	0	2	32.8273
5	1	1	2	3	2	2	0	2	36.1333
5	1	2	2	3	2	2	0	1	34.1534
1	4	0	1	2	0	0	0	4	28.8851
1	0	0	1	2	3	3	0	2	31.8839
9	0	0	3	3	3	2	0	0	35.4758
9	4	3	3	2	0	0	0	0	21.4247
0	2	2	3	6	1	1	0	2	43.4537
2	1	0	6	3	2	2	0	1	35.12
1	4	0	0	2	0	0	0	2	33.3157
0	1	0	6	3	2	3	0	0	36.7149
5	2	1	5	6	1	1	0	2	43.1653
8	1	2	0	1	1	2	0	2	38.7631
2	2	2	6	6	2	1	0	1	39.4936
4	2	1	0	1	1	1	0	2	39.4094
5	0	0	1	0	0	0	0	7	29.1308
0	1	2	3	1	2	2	0	1	37.238
5	1	1	2	1	2	2	0	2	36.6828
