0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13495
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16500
1	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	16500
2	1	1	0	0	1	2	1	0	2	1	1	2	2	2	0	2	0	2	1	0	0	1	2	1	13950
2	1	1	0	0	1	2	2	0	2	1	2	2	1	2	2	0	0	2	1	1	0	1	1	2	17450
2	0	1	0	0	0	2	1	0	2	1	1	3	2	2	2	0	0	2	1	1	0	1	1	0	15250
1	2	1	0	0	1	2	1	0	3	2	3	4	1	2	2	0	0	2	1	1	0	1	1	0	17710
1	0	1	0	0	1	3	1	0	3	2	3	4	1	2	2	0	0	2	1	1	0	1	1	0	18920
1	2	1	0	1	1	2	1	0	3	2	3	4	3	2	2	0	0	2	1	1	2	1	1	2	23875
2	3	2	0	0	0	2	0	0	4	1	0	2	2	2	0	2	0	0	2	0	0	2	0	1	16430
3	3	2	0	0	1	2	0	0	4	1	0	2	2	2	0	2	0	0	2	0	0	2	0	1	16925
3	3	2	0	0	0	2	0	0	4	1	0	2	0	2	1	1	0	3	3	0	2	3	0	1	20970
3	3	2	0	0	1	2	0	0	4	1	0	2	0	2	1	1	0	3	3	0	2	3	0	1	21105
1	0	2	0	0	1	2	0	0	4	2	2	4	3	2	1	1	0	3	3	0	2	3	1	0	24565
3	0	2	0	0	1	2	0	0	4	2	2	4	3	2	1	3	0	4	1	1	3	1	3	2	30760
3	0	2	0	0	0	2	0	0	4	2	4	3	4	2	1	3	0	4	1	1	3	1	3	2	41315
3	0	2	0	0	1	2	0	0	5	3	5	5	4	2	1	3	0	4	1	1	3	1	3	2	36880
2	0	3	0	0	0	1	1	0	0	4	6	3	5	3	3	4	1	5	4	0	4	0	4	3	5151
1	4	3	0	0	0	1	1	0	1	5	7	1	6	2	0	2	1	6	4	0	4	1	5	4	6295
3	5	3	0	0	1	2	1	0	1	5	7	1	6	2	0	2	1	6	4	0	4	1	5	4	6575
1	0	4	0	0	0	1	1	0	1	5	7	6	6	2	0	2	1	6	3	0	4	1	5	5	5572
