0	0	0	0	480.48
1	1	0	1	445.75
2	1	1	2	438.76
3	2	1	1	453.09
4	0	2	3	464.43
5	0	2	4	470.96
6	3	1	1	442.35
5	0	3	4	464
7	4	0	5	428.77
0	0	4	4	484.31
2	4	1	6	435.29
6	5	2	7	451.41
2	4	0	8	426.25
0	0	1	4	480.66
3	5	4	8	460.17
6	6	4	8	453.13
3	5	0	2	461.71
4	5	4	0	471.08
4	0	4	6	473.74
1	0	5	5	448.56
5	2	2	1	464.82
8	4	5	7	427.28
1	4	0	1	441.76
0	0	3	0	474.71
5	0	4	1	467.21
0	7	6	1	487.69
2	6	0	1	438.67
0	0	4	0	485.66
6	1	0	6	452.16
2	4	2	7	429.87
5	0	7	3	468.82
6	1	0	4	442.85
0	7	4	4	483.26
7	4	2	2	433.59
7	3	1	2	433.04
5	2	3	8	458.6
6	3	1	3	435.14
1	3	4	8	443.2
0	0	4	4	477.9
1	6	4	8	445.26
2	4	1	6	435.57
6	4	1	4	447.42
3	5	2	5	462.28
2	4	2	2	441.81
3	4	2	0	454.16
2	6	0	6	437.24
3	0	5	0	464.11
1	2	5	6	440.89
0	0	2	1	485.2
1	4	1	6	445.34
6	4	0	0	440
7	4	2	9	431.35
3	5	4	6	456.32
1	3	5	0	432.98
7	4	0	8	429.41
3	0	1	0	464.95
0	5	1	0	481.91
1	4	0	1	437.15
5	0	0	3	462.6
2	3	5	1	432.43
1	6	0	4	442.22
2	4	2	2	441.03
5	0	2	1	468.91
7	3	0	8	432.46
7	4	2	2	430.07
2	3	5	1	437.78
9	0	3	3	483.12
5	0	3	6	462.19
3	2	2	0	457.71
2	6	5	1	438.32
1	4	2	8	434.35
8	4	5	8	427.05
3	4	0	3	448.69
4	0	3	1	475.88
4	0	4	4	479.28
1	2	0	2	446.85
7	4	0	6	434.99
2	4	0	6	441.5
2	4	4	8	433.26
7	8	0	1	430.46
3	2	2	3	455.14
7	3	5	6	431.26
2	6	0	5	437.76
3	5	0	4	464.63
5	0	2	6	462.58
0	0	5	1	483.27
1	3	0	0	438.51
8	8	0	6	431.03
0	5	4	1	484
2	4	1	6	431.64
1	1	2	6	451.78
2	6	2	6	439.46
5	5	0	2	467.23
6	0	0	7	459.81
1	1	0	6	447.15
2	6	0	8	442
3	2	1	3	449.61
9	0	6	3	481.28
7	3	1	2	437.54
0	0	3	0	475.52
5	1	4	4	458.68
2	6	0	8	436.76
6	6	2	4	446.08
5	0	0	1	474.35
4	0	2	0	481.96
4	0	4	4	479.66
7	8	1	6	435.28
1	3	1	0	434.86
7	4	0	8	435.72
6	1	4	1	454.14
6	5	2	8	455.76
6	3	0	0	442.83
6	6	4	1	449.47
6	1	2	1	445.76
4	0	0	1	473.57
2	2	5	7	435.75
1	4	0	0	437.96
6	6	4	1	438.59
6	6	2	4	444.21
6	5	1	1	459.47
5	5	0	0	465.54
5	0	3	1	458.85
1	3	1	3	435.68
6	5	1	6	449.2
6	1	2	0	445.43
6	5	2	5	453.96
6	5	2	6	463.93
5	2	1	0	465.82
5	5	3	4	471.6
2	4	5	6	427.72
5	7	2	6	468.54
1	4	1	4	434.08
3	6	4	1	454.57
0	0	4	0	489.79
0	0	0	0	481.78
3	4	5	4	443.57
3	5	0	4	457.9
0	0	3	3	472.16
6	4	2	4	451.19
4	0	4	6	470.33
0	0	0	4	486.68
5	0	2	4	472.68
1	6	0	7	445.72
5	5	3	4	466.58
2	1	1	6	436.99
4	0	0	4	470.87
5	5	6	6	457.77
1	2	1	6	448.15
4	0	1	3	476.03
6	2	1	0	442.87
4	0	0	6	477.93
3	5	2	7	459.06
6	5	1	8	456.18
0	0	3	3	473.62
4	5	3	3	473.64
5	2	0	0	463.64
3	5	0	1	462.44
1	5	2	6	454.39
3	5	1	4	452.06
3	4	0	1	453.31
5	0	4	4	466.93
2	2	5	7	436.37
5	2	3	8	458.87
5	5	0	8	470.67
5	0	0	6	475.54
7	8	2	8	432.72
6	1	1	4	441.41
4	0	1	3	472.9
3	0	5	0	457.83
3	5	4	6	462.05
1	2	1	8	445.3
2	2	1	2	435.94
5	0	0	0	472.71
3	5	2	8	464.5
3	6	4	0	449.77
2	3	1	6	435.04
4	0	1	3	472.47
5	5	1	6	459.31
7	4	8	6	434.62
2	4	5	7	435.34
7	3	5	6	430.64
1	6	0	6	447.16
4	7	4	8	471.72
5	0	0	4	470.41
4	2	0	3	468.37
4	0	3	0	483.59
2	3	0	0	432.74
1	3	0	0	438.11
0	5	1	4	484.75
1	1	0	4	445.01
6	6	4	4	445.82
6	4	5	1	452.47
5	0	3	1	459.76
6	6	0	1	445.3
0	0	4	1	486.9
6	1	4	1	454.89
6	6	2	0	441.19
1	6	0	4	440.5
2	4	0	8	435.04
4	0	2	1	472.16
2	6	0	7	442.16
1	2	1	6	442.49
6	0	5	8	456.55
7	8	8	6	431.03
5	0	2	1	471.42
5	5	3	4	463.34
1	3	0	0	433.97
0	0	4	1	487
0	0	6	0	480.19
4	0	4	0	479.56
5	0	0	6	470.03
7	3	0	5	429.57
0	0	0	1	489.26
2	4	2	2	435.62
1	1	2	7	443.84
3	0	1	0	463.76
2	4	2	8	447.26
1	4	1	4	430.3
4	0	2	0	475.01
1	6	4	2	445.11
6	2	4	0	450.35
6	6	2	8	446.14
1	3	1	4	439.04
1	6	2	6	438.46
3	5	2	1	468.57
6	0	2	4	461.55
5	0	4	1	468.02
6	6	4	1	447.18
1	2	1	2	444.69
4	0	4	1	474.1
2	3	1	6	428.27
7	4	5	2	425.18
6	5	1	5	460.6
2	4	4	2	436.21
4	5	0	0	476.25
3	0	8	6	461.08
5	0	4	6	460.3
2	4	1	1	435.04
3	5	1	4	453.86
0	5	1	4	484.78
1	3	0	6	440.48
1	2	0	4	452.17
2	4	2	7	434.47
2	3	0	4	436.8
3	5	2	8	459.76
5	5	3	0	468.85
4	0	6	1	468.81
3	1	2	0	454.29
1	3	1	6	442.8
6	4	2	1	445.52
6	4	2	1	447.43
