{0}	{0}	{0}	{0}	{0}	{0}	{0}	{0, 1, 2, 3, 4, 5, 6, 7, 8}	{0}	{0}	{0}	{0}	{0}	{0}	{0}	0	1	3	
{0}	{0}	{1}	{0}	{0, 1, 2, 3, 4, 5, 6, 7, 8}	{0}	{0}	{0}	{1}	{0}	{1}	{0}	{0}	{1}	{0}	0	1	3	
{0}	{0}	{2}	{0, 1, 2, 3, 4, 5, 6, 7, 8}	{0}	{0}	{0}	{1}	{2}	{1}	{1}	{0}	{0}	{2}	{0}	0	1	3	
{0}	{0}	{3}	{0}	{0}	{0}	{0, 1, 2, 3, 4, 5, 6, 7, 8}	{1}	{3}	{0}	{0, 1, 2, 3, 4, 5, 6, 7, 8}	{0}	{0}	{3}	{0}	0	1	3	
{0}	{0}	{4}	{0}	{0}	{0}	{0}	{0}	{4}	{0}	{0}	{0}	{0}	{2}	{1}	0	1	3	
{0}	{0}	{5}	{0}	{0}	{0}	{0}	{0, 1, 2, 3, 4, 5, 6, 7, 8}	{3}	{1}	{1}	{0}	{0}	{1}	{1}	0	1	3	
{0}	{0}	{6}	{0}	{0}	{0}	{0}	{1}	{2}	{1}	{0}	{0}	{0}	{1}	{1}	0	1	3	
{0}	{0}	{7}	{0, 1, 2, 3, 4, 5, 6, 7, 8}	{0}	{0}	{0}	{1}	{2}	{2}	{0}	{0}	{0}	{1}	{1}	0	1	3	
{0}	{0}	{8}	{0}	{0}	{0}	{0}	{1}	{2}	{0}	{0}	{0}	{0}	{0}	{1}	0	1	3	
{0}	{0}	{9}	{0}	{0}	{0}	{0}	{0, 1, 2, 3, 4, 5, 6, 7, 8}	{1}	{0}	{0}	{0}	{0}	{2}	{2}	0	1	3	
{0}	{0}	{10}	{0}	{0}	{0}	{0}	{1}	{3}	{0}	{0}	{0}	{0}	{4}	{2}	0	1	3	
{0}	{0}	{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24}	{0}	{0}	{0}	{0}	{1}	{0}	{1}	{0, 1, 2, 3, 4, 5, 6, 7, 8}	{0}	{0}	{2}	{2}	0	1	3	
{0}	{1}	{0}	{1}	{1}	{1}	{1}	{1}	{0}	{0}	{0}	{1}	{1}	{4}	{1}	0	0	0	
{0}	{1}	{1}	{1}	{1}	{1}	{1}	{0, 1, 2, 3, 4, 5, 6, 7, 8}	{0}	{1}	{0}	{0, 1, 2, 3, 4, 5, 6, 7, 8}	{1}	{2}	{1}	0	0	0	
{0}	{1}	{2}	{1}	{1}	{1}	{1}	{1}	{3}	{3}	{0}	{1}	{1}	{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}	{1}	0	0	0	
{0}	{1}	{3}	{1}	{0, 1, 2, 3, 4, 5, 6, 7, 8}	{1}	{1}	{1}	{1}	{3}	{0}	{1}	{1}	{1}	{1}	0	0	0	
{0}	{1}	{4}	{1}	{1}	{1}	{1}	{1}	{2}	{1}	{0}	{1}	{1}	{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}	{2}	0	0	0	
{0, 1}	{1}	{5}	{1}	{1}	{1}	{1}	{1}	{4}	{0, 1, 2, 3, 4, 5, 6, 7, 8}	{0}	{0, 1, 2, 3, 4, 5, 6, 7, 8}	{1}	{1}	{2}	0	0	0	
